date,open,high,low,close,adjustedClose,volume
2013-07-19,12.6597,12.6597,12.4814,12.6017,5.5198,28600
2013-07-22,12.624,12.9717,12.4636,12.838,5.6233,107500
2013-07-23,12.8781,13.1679,12.8647,12.9806,5.6858,121900
2013-07-24,12.8959,13.0921,12.682,12.7266,5.5745,83100
2013-07-25,12.682,12.9405,12.682,12.8246,5.6175,46800
2013-07-26,12.8157,12.9049,12.5928,12.8647,5.635,34300
2013-07-29,12.8647,12.9361,12.7221,12.7979,5.6058,84500
2013-07-30,12.8068,13.3417,12.8068,13.0609,5.721,99300
2013-07-31,12.9539,13.0341,12.7979,12.8202,5.6155,68300
2013-08-01,12.9494,13.3774,12.8202,13.315,5.8353,98200
2013-08-02,13.1812,13.3729,13.1144,13.2392,5.8021,134100
2013-08-05,13.2303,13.3105,12.8781,12.8781,5.6438,173500
2013-08-06,12.9272,13.0653,12.5839,12.5928,5.5188,102200
2013-08-07,12.4992,12.5661,12.2585,12.5037,5.5341,60900
2013-08-08,12.4546,12.9093,12.4546,12.9049,5.7117,92300
2013-08-09,12.9004,13.0386,12.7221,12.9093,5.7136,81100
2013-08-12,12.838,13.4353,12.838,13.3506,5.909,101600
2013-08-13,13.2214,13.3595,13.1634,13.2927,5.8833,68900
2013-08-14,13.3551,13.3595,13.1634,13.1991,5.8419,57400
2013-08-15,13.1634,13.2258,12.9494,13.101,5.7985,149000
2013-08-16,13.101,13.1902,12.7176,12.994,5.7511,180800
2013-08-19,12.7979,12.9316,12.6597,12.7845,5.6584,20700
2013-08-20,12.8692,12.9093,12.5661,12.6731,5.6091,61500
2013-08-21,12.526,12.7266,12.4413,12.4413,5.5065,61600
2013-08-22,12.5616,12.6731,12.3432,12.3744,5.4769,19500
2013-08-23,12.4948,12.9182,12.4546,12.8781,5.6998,106000
2013-08-26,12.7845,12.8335,12.5393,12.5393,5.5499,90400
2013-08-27,12.6062,12.6062,12.263,12.3878,5.4828,74200
2013-08-28,12.3298,12.4368,12.2407,12.3031,5.4453,82400
2013-08-29,12.4279,12.4858,12.2719,12.3387,5.4611,123900
2013-08-30,12.3521,12.5215,12.3477,12.5215,5.542,132800
2013-09-02,12.8781,12.994,12.624,12.7266,5.6357,68700
2013-09-03,12.7622,12.7622,12.5215,12.5215,5.5449,52600
2013-09-04,12.6107,12.6909,12.3922,12.6909,5.62,45300
2013-09-05,12.6107,12.8781,12.5037,12.8781,5.7029,47400
2013-09-06,12.8781,12.994,12.8291,12.8425,5.6871,136900
2013-09-09,13.0386,13.4041,13.0029,13.2392,5.8628,189000
2013-09-10,13.1723,13.4621,13.1723,13.315,5.8963,142900
2013-09-11,13.1812,13.4309,13.1812,13.4309,5.9476,164700
2013-09-12,13.3283,13.413,13.1857,13.1857,5.8391,66400
2013-09-13,13.3283,13.4621,13.0653,13.3105,5.8943,97400
2013-09-16,13.315,13.5601,13.257,13.4353,5.9496,59000
2013-09-17,13.3061,13.4977,13.3061,13.4576,5.9595,170800
2013-09-18,13.4621,14.0193,13.3774,13.8855,6.149,308500
2013-09-19,13.8053,13.8722,13.6136,13.685,6.0602,172000
2013-09-20,13.8187,13.8989,13.4353,13.5423,5.997,72400
2013-09-23,13.6136,13.6805,13.3774,13.578,6.0128,133500
2013-09-24,13.6805,13.6805,13.4487,13.5512,6.0009,99000
2013-09-25,13.5334,13.578,13.3729,13.4398,5.9516,55600
2013-09-26,13.4442,13.5066,13.3729,13.4844,5.9713,112200
2013-09-27,13.4264,13.7875,13.4264,13.6315,6.0365,121100
2013-09-30,13.5066,13.5869,13.3194,13.4398,5.9516,190400
2013-10-01,13.4264,13.4799,13.2436,13.471,5.9684,168800
2013-10-02,13.413,13.5601,13.3417,13.3417,5.9111,73500
2013-10-03,13.3551,13.4799,13.3105,13.3506,5.915,61300
2013-10-04,13.3506,13.4621,13.2392,13.3952,5.9348,93800
2013-10-07,13.4175,13.4532,13.2838,13.3506,5.915,44200
2013-10-08,13.364,13.4264,13.1367,13.3506,5.915,55600
2013-10-09,13.3417,13.5691,13.2704,13.4977,5.9802,166900
2013-10-10,13.5958,13.6894,13.4175,13.6448,6.0454,122400
2013-10-11,13.7251,13.7251,13.2392,13.3729,5.9249,102700
2013-10-14,13.4844,13.6225,13.3997,13.5066,5.9842,106000
2013-10-15,13.4041,13.627,13.4041,13.5691,6.0118,125400
2013-10-16,13.5512,13.7206,13.5156,13.6805,6.0612,281700
2013-10-17,13.5958,13.8633,13.5735,13.8009,6.1145,72800
2013-10-18,13.7162,14.202,13.7162,14.1263,6.2587,291800
2013-10-21,13.9925,14.1263,13.8187,13.8633,6.1422,114000
2013-10-22,13.948,14.1485,13.8543,14.1485,6.2686,141200
2013-10-23,14.0817,14.0906,13.8677,13.9524,6.1817,126900
2013-10-24,14.0683,14.0683,13.8187,13.8633,6.1422,54800
2013-10-25,13.7652,13.9167,13.7652,13.8633,6.1422,94500
2013-10-28,13.7875,13.9925,13.7875,13.9078,6.1619,77700
2013-10-29,14.0861,14.5408,14.0861,14.5408,6.4424,228700
2013-10-30,14.5631,14.5988,14.3937,14.5274,6.4364,65100
2013-10-31,14.6389,14.6389,14.3046,14.5497,6.4463,88100
2013-11-01,14.6121,14.6121,14.1753,14.3803,6.3742,91400
2013-11-04,14.3759,14.5899,14.3269,14.5052,6.4295,146100
2013-11-05,14.5052,14.5096,14.1931,14.1931,6.2912,81200
2013-11-06,14.1753,14.2689,13.9702,14.0995,6.2497,81500
2013-11-07,14.0014,14.2377,13.8142,13.948,6.1825,145700
2013-11-08,13.948,13.948,13.3997,13.5111,5.9889,181200
2013-11-11,13.4576,13.6359,13.4576,13.5958,6.0264,71600
2013-11-12,13.7206,13.9747,13.5245,13.578,6.0185,69300
2013-11-13,13.4442,13.9435,13.4442,13.9435,6.1806,113600
2013-11-14,13.8543,14.26,13.8543,14.0817,6.2418,105000
2013-11-18,14.1708,14.2778,14.0728,14.2689,6.3248,55100
2013-11-19,14.2867,14.3358,13.7206,13.8588,6.143,94000
2013-11-21,13.6983,13.8231,13.5958,13.7964,6.1154,135100
2013-11-22,13.8231,13.8588,13.3506,13.6359,6.0442,82000
2013-11-25,13.8053,14.0416,13.15,13.2303,5.8644,498100
2013-11-26,13.315,13.8009,13.2303,13.5468,6.0047,80600
2013-11-27,13.5156,13.8187,13.5156,13.7964,6.1154,80900
2013-11-28,13.8187,13.9078,13.6225,13.7964,6.1154,42800
2013-11-29,13.7563,13.7919,13.3685,13.6493,6.0502,109700
2013-12-02,13.5824,13.8722,13.4442,13.4665,5.9721,63900
2013-12-03,13.4398,13.4799,13.1277,13.3239,5.9088,71100
2013-12-04,13.2927,13.3551,13.0698,13.1055,5.8119,35300
2013-12-05,13.0029,13.3595,12.9272,12.9717,5.7526,112000
2013-12-06,13.052,13.2169,12.6998,13.101,5.81,48600
2013-12-09,13.0787,13.3373,13.0609,13.101,5.81,32200
2013-12-10,13.0832,13.1991,13.0297,13.15,5.8317,126600
2013-12-11,13.15,13.15,12.8023,12.8603,5.7032,53100
2013-12-12,12.9004,12.9049,12.6374,12.7488,5.6538,55500
2013-12-13,12.7622,13.0163,12.7622,12.9093,5.725,42900
2013-12-16,12.9093,13.1233,12.8291,12.9272,5.7329,56200
2013-12-17,12.9272,12.9717,12.8202,12.8291,5.6894,46700
2013-12-18,12.945,13.0029,12.8068,12.9316,5.7348,17500
2013-12-19,12.9851,13.2169,12.9539,13.2124,5.8594,106800
2013-12-20,13.1233,13.2392,13.0252,13.1456,5.8297,94600
2013-12-23,13.0564,13.159,12.9138,13.0609,5.8324,58700
2013-12-26,12.9762,13.1812,12.9762,13.0832,5.8424,57100
2013-12-27,13.1367,13.1902,13.0029,13.0029,5.8066,75900
2013-12-30,13.0431,13.1946,13.0297,13.1277,5.8623,25400
2014-01-02,13.1411,13.1411,12.9182,13.1188,5.8613,74600
2014-01-03,13.0386,13.0965,12.945,12.994,5.8055,83300
2014-01-06,13.0074,13.0965,12.9272,12.9851,5.8016,148500
2014-01-07,12.9673,13.1277,12.9049,12.9049,5.7657,60400
2014-01-08,12.9584,13.0743,12.9316,13.0386,5.8255,49300
2014-01-09,12.9673,12.9806,12.6196,12.6463,5.6502,92200
2014-01-10,12.6508,12.7979,12.6151,12.7266,5.686,66300
2014-01-13,12.7221,12.8603,12.6731,12.682,5.6661,28400
2014-01-14,12.682,12.9717,12.6374,12.8469,5.7398,234800
2014-01-15,12.9227,12.9494,12.8157,12.9227,5.7737,54800
2014-01-16,12.9539,13.0029,12.5483,12.5705,5.6163,84200
2014-01-17,12.6151,12.624,12.1248,12.3521,5.5187,97000
2014-01-20,12.3075,12.4145,12.1114,12.1114,5.4112,95700
2014-01-21,12.1203,12.4368,12.1203,12.2139,5.457,1275800
2014-01-22,12.3031,12.4769,12.1337,12.3387,5.5128,123200
2014-01-23,12.2719,12.4814,12.0535,12.0713,5.3933,227400
2014-01-24,11.9554,12.1114,11.7994,11.8439,5.2917,63800
2014-01-27,11.8796,12.1827,11.8796,12.0802,5.3973,158600
2014-01-28,12.2184,12.312,12.0535,12.0624,5.3893,36000
2014-01-29,12.1649,12.1649,11.7726,11.8261,5.2837,60300
2014-01-30,11.8127,12.0267,11.7236,11.8885,5.3116,30000
2014-01-31,11.7949,12.2942,11.737,12.2942,5.4929,1616100
2014-02-03,12.2496,12.2763,11.8662,11.9866,5.3584,195400
2014-02-04,12.3031,12.8915,12.3031,12.8603,5.7489,309400
2014-02-05,12.8558,12.8692,12.5572,12.7578,5.7031,165400
2014-02-06,12.8113,13.422,12.6151,13.0252,5.8226,389200
2014-02-07,13.0252,13.1946,12.7979,12.9539,5.7908,169000
2014-02-10,12.9004,12.945,12.7711,12.8692,5.7529,83500
2014-02-11,12.9584,13.0341,12.8335,13.0163,5.8187,162500
2014-02-12,12.9628,13.0252,12.8068,12.9227,5.7768,48900
2014-02-13,12.9316,12.9316,12.6508,12.887,5.7609,157100
2014-02-14,12.887,13.0297,12.7355,13.0163,5.8187,53100
2014-02-17,13.0386,13.101,12.8246,12.8246,5.733,38400
2014-02-18,12.9539,13.0743,12.7355,12.9539,5.7908,86000
2014-02-19,12.7043,13.0252,12.5661,13.0252,5.9295,77800
2014-02-20,12.9584,13.1277,12.8246,12.838,5.8443,66100
2014-02-21,12.7801,12.9896,12.7667,12.9717,5.9051,83400
2014-02-24,12.9717,13.0252,12.9004,12.9717,5.9051,73700
2014-02-25,12.9717,13.0163,12.8514,12.9717,5.9051,92400
2014-02-26,12.9138,12.9405,12.7533,12.9405,5.8909,75900
2014-02-27,12.9806,12.9806,12.8246,12.9717,5.9051,119100
2014-02-28,12.9717,13.0118,12.8023,12.9717,5.9051,150600
2014-03-05,12.9762,12.9762,12.7355,12.9182,5.8838,63900
2014-03-06,12.8826,13.3194,12.8826,13.2838,6.0503,110900
2014-03-07,13.2971,13.4353,13.0431,13.0475,5.9427,79800
2014-03-10,13.0386,13.1099,12.7043,12.8737,5.8635,183700
2014-03-11,12.8781,13.0609,12.8335,13.0163,5.9285,77400
2014-03-12,12.9049,12.994,12.8023,12.8692,5.8615,45300
2014-03-13,12.9717,12.9717,12.7533,12.8157,5.8371,171500
2014-03-14,12.8157,12.8157,12.4636,12.5705,5.7255,175700
2014-03-17,12.6151,12.9673,12.6151,12.8425,5.8493,71300
2014-03-18,12.9494,13.2124,12.8425,13.2124,6.0178,116200
2014-03-19,13.1812,13.2615,12.9272,13.1099,5.9711,197300
2014-03-20,13.0163,13.315,12.8558,13.1902,6.0077,119200
2014-03-21,13.1857,13.3729,13.0653,13.15,5.9894,199300
2014-03-24,13.3194,13.783,13.2436,13.6493,6.2168,98700
2014-03-25,13.5512,13.7652,13.5245,13.6047,6.1965,55000
2014-03-26,13.6092,13.8633,13.6092,13.8098,6.2899,24000
2014-03-27,13.8543,14.1263,13.7696,13.948,6.3528,164300
2014-03-28,13.948,14.0148,13.8499,14.0148,6.3833,24900
2014-03-31,13.997,14.2332,13.948,14.2332,6.4828,77700
2014-04-01,14.3135,14.3135,13.9658,14.1129,6.431,53800
2014-04-02,14.1084,14.6879,14.104,14.5943,6.6503,211200
2014-04-03,14.6032,14.63,14.3536,14.4873,6.6016,99500
2014-04-04,14.5096,14.7637,14.4294,14.4918,6.6036,38200
2014-04-07,14.5542,14.8439,14.4784,14.8439,6.7641,76700
2014-04-08,14.8439,15.1827,14.6968,14.7771,6.7336,194200
2014-04-09,14.6344,14.7191,14.4383,14.474,6.5955,19500
2014-04-10,14.4249,14.6835,14.367,14.6656,6.6828,39900
2014-04-11,14.6166,14.8662,14.6032,14.8662,6.7742,41300
2014-04-14,14.8439,14.8439,14.5052,14.6211,6.6625,27600
2014-04-15,14.6523,14.6523,14.2422,14.3536,6.5406,74600
2014-04-16,14.3536,14.6478,14.3536,14.4695,6.5935,50900
2014-04-17,14.4873,14.8618,14.3358,14.8038,6.7458,205300
2014-04-22,14.5453,14.9688,14.5453,14.8217,6.7539,53900
2014-04-23,14.8217,15.0757,14.7325,14.9331,6.8047,65900
2014-04-24,14.9688,15.4234,14.9688,15.4101,7.0221,86300
2014-04-25,15.3432,15.5393,15.2585,15.5393,7.081,34500
2014-04-28,15.4457,15.468,15.2763,15.3164,6.9794,15300
2014-04-29,15.156,15.4323,15.156,15.3477,6.9936,36800
2014-04-30,15.2005,15.3477,15.1069,15.312,6.9774,66500
2014-05-02,15.312,15.5661,15.1649,15.2986,6.9743,104800
2014-05-05,15.2986,15.8514,15.2897,15.6998,7.1572,416500
2014-05-06,15.5527,15.6909,15.468,15.6909,7.1531,81600
2014-05-07,15.6196,15.7756,15.5304,15.6463,7.1328,47300
2014-05-08,15.6463,15.7176,15.3833,15.517,7.0739,49800
2014-05-09,15.4546,15.5215,15.3209,15.3343,6.9906,59100
2014-05-12,15.3298,15.8157,15.3298,15.5661,7.0962,92700
2014-05-13,15.6196,15.6374,15.3878,15.4948,7.0637,217400
2014-05-14,15.468,15.5928,15.4145,15.5304,7.08,29800
2014-05-15,15.5973,15.6017,15.2852,15.419,7.0292,65600
2014-05-16,15.2897,15.5928,15.2585,15.3789,7.0109,513000
2014-05-19,15.4323,15.4323,15.2139,15.3789,7.0109,54800
2014-05-20,15.4636,15.468,14.9242,15.1025,6.8849,98200
2014-05-21,15.156,15.2005,14.8172,14.8172,6.7548,162800
2014-05-22,14.7815,15.0312,14.6166,15.0312,6.8524,97500
2014-05-23,15.0668,15.0668,14.6612,14.8217,6.7569,51100
2014-05-26,14.8127,14.8217,14.5899,14.6835,6.6939,99200
2014-05-27,14.7414,15.0178,14.5809,14.7459,6.7223,94000
2014-05-28,14.7459,14.9509,14.679,14.7771,6.7366,397100
2014-05-29,14.8573,14.9375,14.5631,14.7325,6.7162,123600
2014-05-30,14.6656,14.6656,14.2689,14.416,6.572,130300
2014-06-02,14.367,14.4784,14.2511,14.3982,6.5669,82100
2014-06-03,14.3224,14.4829,14.2867,14.474,6.6014,61400
2014-06-04,14.5408,14.5408,14.2065,14.367,6.5526,80000
2014-06-05,14.4873,14.4873,14.1396,14.2199,6.4855,140600
2014-06-06,13.5334,13.5691,13.1857,13.2971,6.0647,163500
2014-06-09,13.3774,13.7652,13.3283,13.6003,6.2029,110500
2014-06-10,13.627,13.7652,13.5378,13.7652,6.2782,106200
2014-06-11,13.8365,14.0683,13.8365,14.0282,6.3981,151100
2014-06-13,13.9123,13.9836,13.8009,13.948,6.3615,53500
2014-06-16,13.8945,13.8945,13.685,13.8454,6.3148,125100
2014-06-17,13.7741,13.8053,13.5958,13.8053,6.2965,85100
2014-06-18,13.8187,14.0728,13.6627,13.9925,6.3819,254000
2014-06-20,13.7964,14.0416,13.6315,13.6627,6.2314,302100
2014-06-23,13.7741,13.7741,13.4264,13.6939,6.2456,67100
2014-06-24,13.7518,13.7875,13.6136,13.7696,6.2802,103200
2014-06-25,13.7696,13.7696,13.4621,13.5289,6.1704,394000
2014-06-26,13.734,13.734,13.5245,13.5557,6.1826,154500
2014-06-27,13.5557,13.6716,13.471,13.4933,6.1542,187800
